cell_id,CD3D,CD3E,TRAC,LCK,IL7R,LTB,MALAT1,B2M,MS4A1,CD79A,CD74,HLA-DRA,CD37,CD22,CD79B,CD83,LST1,S100A8,S100A9,FCN1,CTSS,TYMP,LGALS3,SAT1,ACTB,GAPDH,RPL3,RPL5,RPL7,RPL11,RPL13,RPL18,RPL23,RPL27,RPS3,RPS5,RPS8,RPS12,RPS14,RPS18,RPS24,EEF1A1,TMSB10,FTL,FTH1,UBC,HSP90AA1,HSPA8,VIM,PFN1,CFL1,LGALS1,YWHAZ,PPIA,MT-CO1,MT-ND1,MT-CYB
demo_1_13,5,8,14,15,11,15,7,20,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2,4,3,3,3,2,1,1,0,3,3,1,3,1,4,4,2,7,4,2,2,3,2,2,5,1,4,2,5,3,0,0,0
demo_1_14,18,13,20,14,16,13,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,2,1,2,1,6,2,1,3,2,1,0,1,6,1,2,1,0,2,1,2,0,4,1,3,2,2,3,0,0,0
demo_1_15,16,14,3,10,18,14,17,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,3,2,1,1,1,2,2,1,2,4,3,2,2,1,3,4,5,3,1,3,4,6,0,4,1,2,2,0,0,1
demo_1_16,15,18,12,16,16,18,14,18,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2,3,3,2,3,5,3,3,4,4,2,2,1,4,1,3,1,3,2,1,4,0,4,0,2,1,3,3,0,0,1
demo_1_17,13,21,19,11,13,12,12,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,4,2,2,4,2,4,5,3,4,2,3,2,3,2,1,3,2,4,4,5,0,0,2,1,1,6,3,2,0,1,0
demo_1_18,12,11,14,16,11,5,15,11,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,2,1,2,3,2,3,3,3,2,1,2,2,5,4,1,2,1,0,3,2,1,2,6,2,3,2,1,1,0,0,0
demo_1_19,14,22,10,14,16,19,15,14,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,1,1,1,2,2,2,1,1,2,3,2,1,2,2,5,3,4,3,1,2,5,5,2,1,3,0,2,2,4,0,0,1
demo_1_20,15,12,12,17,12,15,18,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,3,0,4,1,3,2,2,4,2,1,0,1,2,1,2,4,2,3,2,1,4,5,3,2,3,1,2,0,0,1
demo_1_21,15,23,9,17,12,19,11,15,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,4,2,1,1,2,2,2,3,3,2,4,2,8,2,1,2,3,1,2,3,6,2,2,3,6,3,3,2,1,1,0,1,0
demo_1_22,14,14,14,17,19,10,19,10,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,5,5,4,3,1,2,4,4,2,2,4,1,5,6,2,1,5,3,1,3,3,1,1,0,2,4,3,5,1,5,0,1,0
demo_1_23,16,20,19,21,11,9,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1,1,3,2,2,4,6,0,1,2,3,5,5,4,2,2,4,3,2,4,4,2,4,0,5,3,3,3,0,0,0
demo_1_24,13,18,19,17,14,12,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,2,4,2,3,1,4,3,0,0,2,2,3,3,0,2,4,2,3,2,2,4,8,3,2,3,0,2,1,0,0
demo_1_25,11,18,20,21,9,21,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,1,3,1,0,0,3,3,2,1,0,3,4,4,3,2,1,3,0,4,2,0,2,0,2,3,4,3,1,0,0
demo_1_26,18,16,10,15,15,15,23,17,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,1,2,1,3,2,4,1,0,6,3,2,3,4,1,0,3,3,6,3,3,2,5,4,7,3,1,1,0,0,0
demo_1_27,14,6,16,13,10,15,9,15,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,3,1,2,3,3,1,1,2,0,4,7,0,4,3,3,3,2,7,6,5,6,2,4,3,3,3,0,0,0,0
demo_1_28,14,16,12,21,18,19,13,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,6,2,1,3,1,1,4,1,4,2,3,3,5,1,4,1,1,4,4,2,4,2,3,2,6,1,3,5,2,0,0,0
demo_1_29,14,15,17,12,15,4,14,10,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,5,1,2,3,1,1,3,3,0,0,1,0,4,2,2,5,2,2,6,2,6,3,2,1,2,3,4,1,0,0,0,0
demo_1_30,19,15,12,10,19,14,15,14,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,6,0,3,3,2,2,4,3,6,3,4,1,4,0,1,4,3,4,6,3,4,2,0,7,1,4,2,2,1,2,0,0
demo_2_01,0,0,0,0,1,0,0,0,18,12,13,13,16,15,14,17,0,0,0,0,0,0,0,0,1,6,1,5,4,2,1,2,4,0,2,3,3,3,0,1,6,3,2,2,2,3,4,2,3,4,3,1,2,1,1,0,0
demo_2_02,0,0,1,0,0,0,0,0,7,21,10,7,11,16,14,9,0,1,0,0,0,0,0,0,2,3,7,2,3,3,1,1,3,2,2,2,1,3,4,2,1,0,6,2,4,1,5,3,2,3,6,3,2,4,0,0,0
demo_2_03,0,0,0,0,0,0,0,0,16,13,15,15,15,18,14,15,0,0,1,1,0,1,0,0,0,2,2,2,3,6,2,3,4,1,2,5,1,4,2,2,2,2,6,3,4,0,4,3,3,3,3,4,4,2,1,1,0
demo_2_04,0,0,0,0,0,0,0,0,22,13,13,15,12,12,13,11,0,1,0,0,0,0,0,0,4,6,1,1,2,5,2,2,3,3,2,1,3,3,1,0,2,3,2,1,5,4,3,3,4,0,1,1,3,1,0,1,1
demo_2_05,0,0,0,0,0,2,0,1,15,4,10,14,18,10,17,20,0,1,0,1,0,0,0,0,3,2,2,1,1,2,5,3,4,5,0,2,2,3,2,3,4,5,0,2,1,1,4,5,3,1,0,3,6,4,0,0,1
demo_2_06,0,0,0,0,0,0,0,0,13,10,9,13,18,20,11,18,0,0,0,0,0,0,0,0,2,1,2,3,1,1,1,3,3,2,2,6,2,1,3,3,2,3,4,2,2,3,0,1,3,3,2,2,2,3,0,1,0
demo_2_07,1,0,0,1,0,0,1,1,9,20,8,18,12,18,13,15,0,0,0,0,0,0,0,0,3,1,1,4,0,1,4,2,5,2,2,1,4,1,3,1,3,2,1,3,0,0,0,4,1,1,4,1,2,3,0,0,0
demo_2_08,0,0,1,0,0,1,0,0,10,17,17,9,29,11,8,7,0,0,0,0,0,1,0,0,2,2,3,2,2,2,2,1,2,6,3,1,5,2,5,1,2,3,3,3,5,0,2,0,1,2,2,4,1,3,0,1,0
demo_2_09,0,0,0,0,0,2,0,0,14,11,19,12,14,14,13,13,1,1,0,0,1,0,0,0,2,4,7,0,1,2,2,2,0,0,2,1,2,3,4,2,4,1,1,2,6,6,5,2,5,6,0,1,0,2,2,0,1
demo_2_10,1,0,0,0,0,0,0,0,15,17,15,11,18,10,19,15,0,0,0,0,0,1,0,0,1,3,3,5,2,1,3,2,2,1,2,2,3,1,2,1,2,2,5,3,0,3,3,1,3,3,2,4,2,2,0,0,1
demo_2_11,0,0,0,0,0,0,0,0,14,15,15,16,21,18,16,14,0,1,0,0,0,0,0,0,1,2,0,4,1,1,3,2,2,1,2,2,2,1,1,2,3,5,3,4,3,4,3,0,1,0,0,1,2,4,0,0,0
demo_2_12,0,0,0,1,0,0,0,0,15,11,15,10,14,8,14,12,0,1,0,2,0,0,0,1,3,2,3,4,1,1,3,2,1,3,1,9,2,3,3,6,1,2,4,2,1,4,2,0,8,0,1,3,2,3,0,1,0
demo_2_13,1,1,0,0,0,0,0,0,13,14,13,11,13,14,15,10,0,0,0,0,0,0,0,0,3,4,4,5,2,1,0,3,0,3,2,2,2,0,0,2,2,4,2,2,3,3,2,3,3,3,2,0,3,1,0,1,0
demo_2_14,0,2,1,0,0,0,0,0,11,14,18,15,13,15,20,13,0,0,1,1,0,0,0,0,3,4,5,2,1,1,2,1,1,1,3,6,2,2,1,2,4,5,5,1,2,1,1,3,3,1,2,1,3,4,0,0,1
demo_2_15,0,0,0,0,0,1,0,0,11,16,12,18,12,15,11,16,0,0,0,1,0,0,0,0,2,4,2,2,1,0,4,1,2,5,1,1,2,5,2,2,1,2,3,5,2,2,1,7,2,2,2,0,2,3,0,1,2
demo_2_16,0,0,1,0,0,0,0,0,16,13,13,13,19,10,16,14,0,1,0,1,0,0,0,0,1,2,5,1,2,3,2,2,3,4,3,0,4,1,6,3,2,2,0,3,3,5,1,4,2,3,3,4,7,2,1,0,0
demo_2_17,0,0,1,0,0,0,0,0,11,20,19,12,18,9,13,16,0,0,1,0,0,0,0,2,2,2,5,2,2,5,1,1,4,3,4,4,1,3,8,5,6,2,2,0,5,3,1,2,1,5,3,1,1,3,0,1,2
demo_2_18,0,0,1,0,0,0,0,1,17,12,19,10,13,21,14,14,0,0,0,0,0,1,0,0,2,2,3,2,3,0,2,2,6,1,1,2,3,1,3,4,4,3,3,1,2,0,3,1,5,6,4,1,1,1,0,1,0
demo_2_19,1,0,0,0,0,0,0,0,11,15,20,25,15,20,19,16,0,0,0,0,0,0,0,0,2,1,2,3,1,1,2,3,0,3,6,3,7,0,2,1,4,2,2,1,2,1,3,2,4,2,0,2,2,6,0,0,0
demo_2_20,0,0,0,0,0,0,1,0,9,9,15,13,10,15,13,23,1,0,0,0,0,0,0,0,3,4,2,1,1,2,1,1,2,4,1,3,2,0,2,2,3,2,3,3,1,2,2,2,5,2,5,6,2,1,0,0,0
demo_2_21,0,0,0,0,0,0,0,0,14,15,15,17,7,9,13,15,0,1,0,0,0,0,0,1,0,3,1,2,0,2,3,4,3,3,6,1,7,1,4,2,3,1,3,2,2,1,2,2,2,5,2,2,4,4,0,0,0
demo_2_22,0,0,0,0,0,0,0,0,12,19,12,17,23,23,13,15,0,1,0,0,0,0,0,0,1,1,4,2,2,0,1,4,1,3,2,3,3,2,4,2,1,4,2,2,2,4,2,4,4,1,3,4,2,2,0,0,2
demo_2_23,0,0,0,2,0,0,0,0,9,16,13,21,12,11,19,14,0,1,0,0,0,1,0,0,1,4,2,0,4,1,2,1,1,0,0,4,1,4,2,3,3,0,2,3,2,4,5,4,0,4,1,2,0,1,0,0,0
demo_2_24,0,0,0,1,1,0,0,0,16,9,15,13,9,15,14,20,0,1,0,0,1,0,0,0,3,1,0,4,0,1,4,3,3,3,3,2,1,3,3,2,3,1,2,8,2,1,1,0,0,6,1,1,4,4,0,0,0
demo_2_25,1,0,0,0,0,0,1,0,10,9,11,17,16,11,9,16,0,1,1,0,0,0,0,0,3,2,3,0,1,4,2,4,2,3,4,1,2,0,5,1,2,3,4,0,2,6,4,3,1,3,5,0,2,1,1,0,0
demo_2_26,0,0,0,0,0,0,0,0,16,4,18,11,17,13,13,13,0,0,1,0,0,0,0,0,3,4,2,0,5,3,0,4,4,0,1,5,2,1,3,1,2,2,5,4,2,5,3,4,0,3,1,5,1,3,0,1,1
demo_2_27,0,0,0,0,1,0,0,0,13,7,18,10,22,12,13,16,0,0,0,1,1,0,0,0,4,2,0,2,3,0,1,3,5,3,2,3,0,4,5,0,1,2,0,3,0,1,2,2,1,3,2,3,2,2,0,0,1
demo_2_28,0,0,0,1,0,0,0,0,19,12,20,12,9,12,21,9,0,0,0,0,0,0,0,0,1,4,4,4,1,2,0,3,3,2,8,5,0,0,2,2,2,1,1,3,1,4,4,2,6,2,0,2,1,4,1,0,0
demo_2_29,0,0,0,0,0,0,0,0,9,13,9,17,19,12,18,21,0,0,1,1,0,0,1,0,1,2,3,2,3,4,3,1,1,0,8,1,5,6,0,1,4,2,2,3,1,0,6,2,1,4,3,2,3,1,0,0,0
demo_2_30,0,0,0,0,0,0,0,0,11,12,18,12,12,15,16,11,0,0,0,0,0,0,0,0,4,0,1,4,3,4,2,0,4,4,0,3,4,4,3,2,1,1,3,4,1,2,2,0,2,4,2,4,3,1,0,0,0
demo_3_01,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,10,14,15,11,15,16,12,17,5,2,3,4,3,1,4,1,0,3,1,4,4,2,4,5,1,2,3,0,3,3,3,1,5,4,0,1,3,2,0,0,0
demo_3_02,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,16,18,19,18,15,12,10,2,1,2,2,4,2,4,2,1,0,5,2,1,2,3,0,0,4,2,4,2,3,0,0,2,3,3,1,1,1,0,0,0
demo_3_03,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,10,15,17,14,19,12,18,9,1,3,0,3,7,1,2,6,4,4,4,2,3,2,1,4,2,5,5,3,4,1,2,3,5,1,0,3,4,1,0,0,0
demo_3_04,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,12,16,16,10,18,13,9,16,2,3,5,1,3,0,4,4,4,2,5,1,1,1,2,3,1,0,3,3,1,1,1,1,1,3,4,2,2,4,0,3,0
demo_3_05,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9,19,13,22,20,10,14,11,1,1,4,3,4,2,4,2,4,2,5,0,2,2,0,1,5,2,2,2,2,1,2,2,3,5,4,1,0,3,0,0,0
demo_3_06,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13,19,16,11,19,12,13,11,0,2,3,4,3,2,4,1,3,2,6,2,1,2,1,0,4,2,3,3,4,0,4,3,4,3,2,1,2,1,0,0,0
demo_3_07,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,11,20,15,12,15,12,11,15,2,1,1,5,3,3,3,4,1,2,4,1,6,0,2,4,1,3,1,5,2,5,4,1,4,2,2,2,5,2,0,0,0
demo_3_08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,15,18,13,14,22,6,12,1,5,2,4,2,2,2,1,4,2,1,5,4,1,1,1,4,7,1,2,2,0,3,2,2,0,1,3,4,1,0,0,0
demo_3_09,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,11,20,12,16,11,18,23,11,1,5,4,0,2,3,2,4,0,2,3,4,0,2,2,2,4,5,0,1,3,0,2,4,4,3,3,4,4,2,0,0,1
demo_3_10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,14,21,18,14,18,12,18,9,2,1,5,3,5,0,0,0,5,4,5,1,1,2,4,0,1,3,1,2,5,2,6,3,2,2,1,1,3,5,0,0,1
demo_3_11,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,14,12,20,15,12,17,19,18,3,1,3,3,4,1,1,0,2,0,3,0,3,6,2,4,4,5,0,1,4,1,6,3,4,2,2,4,4,4,0,0,0
demo_3_12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,13,16,20,10,14,11,15,4,2,6,3,1,2,0,0,3,5,1,2,4,1,5,1,4,3,5,3,2,2,3,2,4,4,0,0,4,2,0,0,0
demo_3_13,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,17,12,18,14,12,15,15,2,2,2,4,1,1,2,2,4,4,1,3,10,4,1,1,2,2,1,3,1,1,2,1,5,6,1,2,4,5,1,0,0
demo_3_14,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,9,16,10,14,18,16,10,15,3,4,2,3,2,2,2,1,2,1,1,4,2,1,2,3,1,3,0,1,2,0,2,4,2,4,4,4,1,5,0,0,0
demo_3_15,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,14,5,11,19,20,13,15,15,2,2,3,2,3,4,0,1,2,5,2,2,2,3,2,4,4,1,2,9,1,1,1,2,7,0,2,2,2,4,0,0,1
demo_3_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,18,7,12,18,9,20,2,2,2,3,0,3,1,4,0,1,1,3,1,3,1,3,2,3,2,3,3,2,1,2,1,3,3,2,3,1,1,0,0
demo_3_17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,11,21,12,20,11,15,24,6,2,1,1,0,1,3,0,2,3,1,2,5,2,1,4,2,3,3,4,2,3,1,2,3,3,5,2,3,1,0,0,0
demo_3_18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,15,15,10,14,17,17,16,1,4,1,4,2,4,4,2,2,1,3,2,3,3,5,2,2,3,1,5,3,3,4,4,3,3,1,2,6,1,1,0,0
demo_3_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,13,15,19,14,16,12,4,0,1,2,2,5,2,1,2,5,3,2,2,2,5,0,3,2,1,3,3,3,3,1,4,3,2,4,2,3,0,1,0
demo_3_20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,15,15,16,10,15,13,12,2,1,2,3,3,5,2,3,5,3,3,1,5,3,2,1,1,5,5,1,2,6,4,1,1,2,3,2,4,3,0,0,0
demo_3_21,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,16,7,18,21,13,13,11,15,4,2,1,2,2,3,3,1,4,2,1,4,1,5,4,0,1,2,2,3,4,2,3,3,5,2,2,4,2,3,0,0,0
demo_3_22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,23,13,19,12,19,13,10,4,4,0,4,2,2,1,1,1,0,1,3,1,2,2,2,5,1,4,1,4,3,3,2,1,4,1,2,1,1,0,0,0
demo_3_23,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,12,11,17,17,18,23,14,5,0,1,4,6,5,2,4,5,0,4,4,2,3,1,2,1,4,4,2,3,4,2,3,1,4,2,3,3,2,0,0,0
demo_3_24,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,15,6,13,14,14,9,16,14,1,2,3,2,3,2,1,2,0,3,0,1,1,0,5,0,1,3,4,2,4,4,4,1,6,0,1,3,2,2,1,1,0
demo_3_25,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,10,16,13,12,20,9,16,20,3,4,1,0,0,4,3,4,3,5,3,5,3,5,3,2,1,1,2,4,4,2,2,3,4,2,1,1,2,2,0,0,1
demo_3_26,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,18,17,14,17,12,24,14,13,2,2,1,1,2,2,2,3,2,4,3,2,4,3,0,2,3,1,5,2,6,2,3,0,4,2,5,2,5,4,0,1,0
demo_3_27,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,14,25,13,14,7,10,17,17,0,4,2,5,1,1,0,4,4,3,4,5,5,2,4,1,1,4,1,4,1,3,2,7,0,2,3,3,1,0,1,0,0
demo_3_28,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,16,17,13,14,9,18,17,11,3,2,0,4,4,1,1,0,5,1,3,8,5,0,7,2,2,1,1,4,3,2,4,2,5,1,2,4,1,1,0,0,0
demo_3_29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,15,12,14,11,8,6,15,2,6,5,1,0,2,5,0,2,1,0,2,2,0,0,1,3,3,3,1,2,3,1,1,3,4,2,3,5,3,1,0,0
demo_3_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,16,15,11,16,14,16,3,2,2,5,2,3,3,1,1,0,4,1,4,0,4,0,3,3,1,4,3,4,1,6,2,2,1,1,7,1,0,2,0
